Filename                        Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
pc-api/src/jobs.rs                  650               168    74.15%          36                 8    77.78%         378                87    76.98%           0                 0         -
pc-api/src/lib.rs                   209                73    65.07%           7                 6    14.29%          96                43    55.21%           0                 0         -
pc-api/src/routes.rs               1116               649    41.85%          95                48    49.47%         720               384    46.67%           0                 0         -
pc-api/src/service.rs              2301              1343    41.63%         141                69    51.06%        1235               681    44.86%           0                 0         -
pc-api/src/state.rs                  36                 6    83.33%           1                 0   100.00%          24                 2    91.67%           0                 0         -
pc-apply/src/files.rs               291                46    84.19%          14                 2    85.71%         156                21    86.54%           0                 0         -
pc-apply/src/lib.rs                 591               178    69.88%          29                10    65.52%         324                92    71.60%           0                 0         -
pc-apply/src/organize.rs            385                74    80.78%          17                 1    94.12%         202                41    79.70%           0                 0         -
pc-cli/src/families.rs              247               177    28.34%          14                 7    50.00%         131                95    27.48%           0                 0         -
pc-cli/src/format.rs                265               134    49.43%          15                 6    60.00%         143                79    44.76%           0                 0         -
pc-cli/src/main.rs                 1176              1176     0.00%          39                39     0.00%         718               718     0.00%           0                 0         -
pc-core/src/bytes.rs                 30                 1    96.67%           2                 0   100.00%          21                 1    95.24%           0                 0         -
pc-core/src/disk.rs                 164                23    85.98%          14                 3    78.57%          86                11    87.21%           0                 0         -
pc-core/src/lang.rs                  71                 7    90.14%          12                 1    91.67%          48                 5    89.58%           0                 0         -
pc-core/src/lib.rs                  244                44    81.97%          28                 3    89.29%         153                23    84.97%           0                 0         -
pc-core/src/thumbstore.rs           406                61    84.98%          32                 3    90.62%         190                34    82.11%           0                 0         -
pc-core/src/time.rs                 120                 0   100.00%          11                 0   100.00%          58                 0   100.00%           0                 0         -
pc-core/src/volume.rs                73                 1    98.63%           7                 0   100.00%          35                 1    97.14%           0                 0         -
pc-core/src/work.rs                  84                 9    89.29%           8                 1    87.50%          60                 7    88.33%           0                 0         -
pc-db/src/files.rs                 1014               377    62.82%          65                15    76.92%         721               145    79.89%           0                 0         -
pc-db/src/lib.rs                    182                21    88.46%          13                 1    92.31%         126                 9    92.86%           0                 0         -
pc-db/src/model.rs                  504               159    68.45%          34                 6    82.35%         323                74    77.09%           0                 0         -
pc-db/src/organize.rs               123                44    64.23%           8                 2    75.00%          69                16    76.81%           0                 0         -
pc-db/src/schema.rs                  66                 5    92.42%           4                 0   100.00%          30                 0   100.00%           0                 0         -
pc-family/src/categories.rs         591               118    80.03%          39                 3    92.31%         380                54    85.79%           0                 0         -
pc-family/src/curation.rs           129                 8    93.80%          12                 1    91.67%          82                 5    93.90%           0                 0         -
pc-family/src/folders.rs            413                20    95.16%          14                 1    92.86%         169                 6    96.45%           0                 0         -
pc-family/src/lib.rs                340                44    87.06%          14                 2    85.71%         183                15    91.80%           0                 0         -
pc-family/src/links.rs              275               119    56.73%          10                 3    70.00%         141                63    55.32%           0                 0         -
pc-family/src/perceptual.rs         469                39    91.68%          35                 2    94.29%         292                33    88.70%           0                 0         -
pc-family/src/plan.rs               403                53    86.85%          21                 3    85.71%         237                36    84.81%           0                 0         -
pc-family/src/quality.rs            325                30    90.77%          16                 0   100.00%         154                 7    95.45%           0                 0         -
pc-family/src/roles.rs              360                28    92.22%          32                 0   100.00%         236                22    90.68%           0                 0         -
pc-family/src/series.rs             486                35    92.80%          33                 2    93.94%         278                14    94.96%           0                 0         -
pc-family/src/unionfind.rs           92                 1    98.91%           6                 0   100.00%          48                 1    97.92%           0                 0         -
pc-hash/src/dct.rs                   95                 0   100.00%           5                 0   100.00%          46                 0   100.00%           0                 0         -
pc-hash/src/lib.rs                  360                 3    99.17%          24                 1    95.83%         156                 3    98.08%           0                 0         -
pc-hash/src/ssim.rs                 204                 2    99.02%          11                 0   100.00%          88                 1    98.86%           0                 0         -
pc-image/src/jpeg.rs                121                 7    94.21%           6                 0   100.00%          68                 6    91.18%           0                 0         -
pc-image/src/lib.rs                  99                48    51.52%           7                 4    42.86%          61                28    54.10%           0                 0         -
pc-image/src/meta.rs                574               216    62.37%          38                17    55.26%         285               114    60.00%           0                 0         -
pc-image/src/metrics.rs             599                 6    99.00%          27                 0   100.00%         302                 6    98.01%           0                 0         -
pc-image/src/read.rs                320                67    79.06%          11                 1    90.91%         131                25    80.92%           0                 0         -
pc-image/src/sniff.rs               186                35    81.18%          11                 0   100.00%          84                14    83.33%           0                 0         -
pc-image/src/thumb.rs               277                16    94.22%          14                 0   100.00%         149                 9    93.96%           0                 0         -
pc-image/src/tiff.rs                851               164    80.73%          30                 2    93.33%         422                82    80.57%           0                 0         -
pc-lightroom/src/lib.rs             390                49    87.44%          24                 2    91.67%         223                26    88.34%           0                 0         -
pc-organize/src/date.rs             369                59    84.01%          30                 3    90.00%         216                30    86.11%           0                 0         -
pc-organize/src/events.rs            84                 0   100.00%           7                 0   100.00%          44                 0   100.00%           0                 0         -
pc-organize/src/plan.rs             437                49    88.79%          24                 5    79.17%         218                36    83.49%           0                 0         -
pc-walk/src/classify.rs             107                 4    96.26%          10                 0   100.00%          74                 3    95.95%           0                 0         -
pc-walk/src/lib.rs                  396                73    81.57%          21                 4    80.95%         230                44    80.87%           0                 0         -
pc-work/src/index.rs                396                56    85.86%          16                 2    87.50%         269                46    82.90%           0                 0         -
pc-work/src/permit.rs               100                 3    97.00%          11                 1    90.91%          57                 3    94.74%           0                 0         -
pc-work/src/priority.rs              41                 0   100.00%           8                 0   100.00%          30                 0   100.00%           0                 0         -
pc-work/src/scan.rs                 362                53    85.36%          18                 1    94.44%         221                27    87.78%           0                 0         -
pc-work/src/thumbs.rs               202               202     0.00%           6                 6     0.00%         131               131     0.00%           0                 0         -
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                             20801              6383    69.31%        1237               297    75.99%       11752              3459    70.57%           0                 0         -
